Gremio,Nombre,Dirección,Teléfono,Email,Web,Rating,Opiniones,AbiertoAhora,HorarioHoy,GoogleMaps,Lat,Lon,Fuente
Fontaneros,BAR LA CUEVA.,"Pl. de Toros, 9, 05470 Pedro Bernardo, Ávila",,,,4.6,205.0,True,martes: 8:00–21:00,https://maps.google.com/?cid=2412450485023671045&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.243411099999996,-4.9099777,Google
Fontaneros,FONTANERIA GRUPO S.G.HERTEMA,"Pl. Prado, 1, 05400 Arenas de San Pedro, Ávila",622 26 00 07,mail@example.com,http://www.hertema.com/,,,True,martes: Abierto 24 horas,https://maps.google.com/?cid=17258625943771729027&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.2103369,-5.0864671,Google
Fontaneros,Calefacciones Serrano SL,"Av. Lourdes, 18, 05400 Arenas de San Pedro, Ávila",920 37 09 00,,http://www.calefaccionserrano.com/,4.8,25.0,True,"martes: 9:00–14:00, 16:00–19:30",https://maps.google.com/?cid=228541593594469876&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.2106578,-5.083357200000001,Google
Fontaneros,Logarri GAS - FONTANERIA - CALEFACCION - BAÑOS,"Av. Francisco Mateos Rodríguez, 1, 05600 El Barco de Ávila, Ávila",627 54 52 97,,,4.8,58.0,False,"martes: 9:30–14:00, 17:15–18:45",https://maps.google.com/?cid=2240409567296010549&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.3580433,-5.5183782,Google
Fontaneros,Asesoría León Gago,"P.º Arturo Duperier, 10, 05470 Pedro Bernardo, Ávila",627 57 16 22,,,5.0,19.0,True,martes: 8:00–19:00,https://maps.google.com/?cid=5949349514957422176&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.240821,-4.9092627,Google
Electricistas,Instalaciones Eléctricas Gil,"C. Sabina, 6, 05400 Arenas de San Pedro, Ávila",651 17 95 39,,,5.0,7.0,True,martes: Abierto 24 horas,https://maps.google.com/?cid=8257047846223415398&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.209067,-5.084261500000001,Google
Electricistas,Electra del Tiétar,"C. Sabina, 26, 05400 Arenas de San Pedro, Ávila",629 51 12 22,electradeltietar@gmail.com,https://electradeltietar.es/,5.0,2.0,True,martes: Abierto 24 horas,https://maps.google.com/?cid=12902543009944425428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.2080488,-5.0828912,Google
Electricistas,"GIL-QUI, GROUP","Av. Lourdes, 16, 05400 Arenas de San Pedro, Ávila",633 33 07 07,,http://www.gilqui.es/,4.7,45.0,True,"martes: 10:00–13:30, 17:00–19:30",https://maps.google.com/?cid=7615767238485161439&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.210650799999996,-5.0835053,Google
Electricistas,Luinstal Vepi S.L.,"Travesía de, Tr.ª Ramón y Cajal, 3, 05400 Arenas de San Pedro, Ávila",670 08 12 53,,,4.9,19.0,False,martes: 9:00–14:00,https://maps.google.com/?cid=17696893824023101441&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.209317,-5.0896444999999995,Google
Electricistas,Peral Electricidad,"Av. Ntra. Sra. de Sonsoles, 05111 San Juan de la Nava, Ávila",699 53 51 58,antonioperal.n@gmail.com,https://electricidadperal.com/,5.0,19.0,True,martes: Abierto 24 horas,https://maps.google.com/?cid=8727637206182038933&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.4789933,-4.6823048,Google
Electricistas,Renovables Reina,"C. la Muralla, 8, 05400 Arenas de San Pedro, Ávila",647 49 67 17,info@renovablesreina.es,https://renovablesreina.es/,5.0,2.0,True,"martes: 9:30–14:00, 17:00–20:30",https://maps.google.com/?cid=8412211220410670094&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.2131073,-5.0873642,Google
Electricistas,Electricidad Diaz,"Av. de Pablo Picasso, 4, 05413 Santa Cruz del Valle, Ávila",654 30 89 60,,http://electricidadiaz.es.tl/,5.0,1.0,True,martes: 8:00–18:00,https://maps.google.com/?cid=3603437975053388264&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.2512672,-5.0036179999999995,Google
Electricistas,Muralec Instalaciones Eléctricas,"C. Reyes Católicos, 14, 05001 Ávila",675 98 96 50,instalacionesmuralec@gmail.com,http://www.muralec.com/,5.0,7.0,True,"martes: 9:00–14:00, 16:00–20:00",https://maps.google.com/?cid=5894221976045695418&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.6557855,-4.699004899999999,Google
Electricistas,Del Nogal Electricistas e Iluminación,"C. Río Tera, 33F, 05004 Ávila",920 21 13 51,ventas@delnogal.com,http://www.delnogal.com/,4.4,52.0,True,"martes: 8:30–13:30, 15:30–19:30",https://maps.google.com/?cid=10059946744087623869&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.6669349,-4.6808454,Google
Electricistas,Instalaciones Eléctricas Bernardo e Hijos S.L.,"Alameda, 23, 13600 Alcázar de San Juan, Ciudad Real",926 55 10 11,,,4.8,8.0,True,"martes: 8:30–13:30, 16:30–19:30",https://maps.google.com/?cid=3917580708043218263&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,39.3801907,-3.2064352,Google
Electricistas,Pablo de la Puerta / Estudio de Ingeniería,"C. de Miragredos, 12, 05400 Arenas de San Pedro, Ávila",606 90 34 93,pablodelapuerta@gmail.com,https://pablodelapuerta.wixsite.com/ingenieria,5.0,1.0,False,martes: 9:00–17:00,https://maps.google.com/?cid=9047853970156789703&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.2129531,-5.0746725,Google
Electricistas,ELECTRO ARENAS,"C. Bernardo Chinarro, 8, 05400 Arenas de San Pedro, Ávila",920 37 00 90,,,,,True,"martes: 10:15–13:30, 17:00–20:00",https://maps.google.com/?cid=17259596959041949928&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.208722699999996,-5.0898379,Google
Electricistas,Rober aislamientos y electricidad,"C. Vereda de las Mozas, 10, p2 1°A, 05003 Ávila",635 18 25 17,roberuiz_@hotmail.com,https://aislamientoavila.com/,5.0,16.0,True,martes: 8:00–20:00,https://maps.google.com/?cid=14737037677291221086&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.649226299999995,-4.682602900000001,Google
Electricistas,Montajes Eléctricos Pemian S L,"C. Olivares, 2, 05412 San Esteban del Valle, Ávila",920 38 63 53,,,,,,,https://maps.google.com/?cid=14527455758040634644&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.2754494,-4.9814248999999995,Google
Electricistas,"Instalaciones Eléctricas Blanco, C.B.","C. la Ermita, 10, 05113 Burgohondo, Ávila",638489474296759,info@instalacionesblanco.es,http://www.instalacionesblanco.es/,5.0,3.0,,,https://maps.google.com/?cid=8952919597259910707&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.4113955,-4.7826948,Google
Electricistas,David Haag González,"C. Comuneros de Castilla, 13, 05400 Arenas de San Pedro, Ávila",630 88 22 22,,,5.0,1.0,,,https://maps.google.com/?cid=8836533066234381054&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.2109101,-5.0844491,Google
Electricistas,ROMO ECTRICIDAD,"Urb. los Charcones, 17, 05420 Sotillo de la Adrada, Ávila",918 66 00 00,,,4.7,79.0,True,martes: Abierto 24 horas,https://maps.google.com/?cid=7332192054681359044&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.295655599999996,-4.573731899999999,Google
Electricistas,Instalaciones Electricas Pedro Plata,"C. Maldonado, 25, 10310 Talayuela, Cáceres",639 28 75 29,pedrofcoa@hotmail.com,https://cys-instalacioneselectricaspedroplata.com/,5.0,14.0,True,martes: 8:00–19:00,https://maps.google.com/?cid=3131644088723056543&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,39.9872851,-5.613432899999999,Google
Electricistas,SAT Madrid Servicio Técnico Electrodomésticos,"Parque Empresarial Prado del Espino, C. Impresores, 20, 28660 Boadilla del Monte, Madrid",916 48 02 45,sat@reparacion-electrodomesticos.es,https://reparacion-electrodomesticos.es/,3.5,250.0,True,martes: Abierto 24 horas,https://maps.google.com/?cid=13553013100695500153&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.3950648,-3.8476726,Google
